@relation segment

@attribute LOG1_2 numeric
@attribute LOG1_4 numeric
@attribute LOG1_6 numeric
@attribute LOG1_8 numeric
@attribute LOG_2 numeric
@attribute LOG_4 numeric
@attribute LOG_8 numeric
@attribute class {class1,class2}

@data
-3412.756836,-1497.612793,-1000.728821,-800.905151,-3412.756836,-1497.612793,-800.905151,class1
-3442.402832,-1455.486328,-981.298645,-806.879028,-3442.402832,-1455.486328,-806.879028,class1
-3412.756836,-1454.830078,-1018.71875,-829.832581,-3412.756836,-1454.830078,-829.832581,class1
-3372.158691,-1514.942017,-1101.304565,-855.24762,-3372.158691,-1514.942017,-855.24762,class1
-3410.290283,-1722.20813,-1187.315186,-861.140503,-3410.290283,-1722.20813,-861.140503,class1
-3906.161133,-2053.187744,-1231.19043,-832.153564,-3906.161133,-2053.187744,-832.153564,class1
-5585.460938,-2229.959961,-1194.522217,-765.819214,-5585.460938,-2229.959961,-765.819214,class1
-5107.727539,-1962.880859,-1084.982666,-676.465698,-5107.727539,-1962.880859,-676.465698,class1
-985.562012,-1652.505859,-973.730042,-595.176147,-985.562012,-1652.505859,-595.176147,class1
-4699.918945,-1836.566772,-935.850586,-561.444153,-4699.918945,-1836.566772,-561.444153,class1
-5305.685059,-2072.094238,-957.195374,-597.997986,-5305.685059,-2072.094238,-597.997986,class1
-3753.384521,-1932.829346,-994.97583,-704.981812,-3753.384521,-1932.829346,-704.981812,class1
-3372.283691,-1643.685303,-1071.245483,-893.109009,-3372.283691,-1643.685303,-893.109009,class1
-3362.363525,-1561.940552,-1254.399658,-1129.156982,-3362.363525,-1561.940552,-1129.156982,class1
-3383.611816,-1976.786133,-1622.572388,-1377.892456,-3383.611816,-1976.786133,-1377.892456,class1
-4381.285156,-2838.069336,-2023.806885,-1529.456177,-4381.285156,-2838.069336,-1529.456177,class1
-6654.311035,-3584.408691,-2175.514648,-1441.716553,-6654.311035,-3584.408691,-1441.716553,class1
-4669.083496,-3055.883057,-1670.793945,-1015.592346,-4669.083496,-3055.883057,-1015.592346,class1
-804.230957,-908.789978,-357.168945,-234.407608,-804.230957,-908.789978,-234.407608,class1
-3530.145996,-1956.259033,-1292.222168,-934.404541,-3530.145996,-1956.259033,-934.404541,class1
-3510.760986,-1823.637817,-1226.240234,-918.694824,-3510.760986,-1823.637817,-918.694824,class1
-3281.670898,-1698.245605,-1224.690796,-932.656006,-3281.670898,-1698.245605,-932.656006,class1
-3436.854004,-1685.457642,-1279.050781,-949.109253,-3436.854004,-1685.457642,-949.109253,class1
-3412.756836,-1833.291992,-1340.213135,-935.688599,-3412.756836,-1833.291992,-935.688599,class1
-3642.943604,-2116.084229,-1305.236084,-848.775818,-3642.943604,-2116.084229,-848.775818,class1
-5002.996094,-2328.183838,-1115.805298,-670.938171,-5002.996094,-2328.183838,-670.938171,class1
-5837.490234,-2030.875977,-775.883057,-436.959015,-5837.490234,-2030.875977,-436.959015,class1
-3777.928711,-1332.203857,-423.293762,-229.713989,-3777.928711,-1332.203857,-229.713989,class1
-3123.557129,-928.67041,-274.514221,-140.578796,-3123.557129,-928.67041,-140.578796,class1
-3516.314453,-1356.595459,-442.893372,-213.828522,-3516.314453,-1356.595459,-213.828522,class1
-6109.135742,-2103.564941,-784.530518,-412.278412,-6109.135742,-2103.564941,-412.278412,class1
-4462.398438,-2271.268555,-1054.355713,-655.832092,-4462.398438,-2271.268555,-655.832092,class1
-3364.432617,-1881.019653,-1179.427124,-915.278564,-3364.432617,-1881.019653,-915.278564,class1
-3362.363525,-1575.775391,-1269.965454,-1170.964844,-3362.363525,-1575.775391,-1170.964844,class1
-3362.363525,-1734.462646,-1525.212769,-1428.826172,-3362.363525,-1734.462646,-1428.826172,class1
-3749.415771,-2414.357422,-1933.654541,-1629.018066,-3749.415771,-2414.357422,-1629.018066,class1
-6160.642578,-3397.500244,-2283.470459,-1652.018188,-6160.642578,-3397.500244,-1652.018188,class1
-7656.57959,-3749.400635,-2165.986328,-1387.147339,-7656.57959,-3749.400635,-1387.147339,class1
-4412.307617,-2554.316406,-1233.207397,-751.997314,-4412.307617,-2554.316406,-751.997314,class1
-4600.213867,-2395.620117,-1428.169067,-949.812134,-4600.213867,-2395.620117,-949.812134,class1
-4203.750488,-2276.367188,-1377.688477,-960.581055,-4203.750488,-2276.367188,-960.581055,class1
-3204.140137,-2191.416016,-1438.865967,-1005.417297,-3204.140137,-2191.416016,-1005.417297,class1
-3750.211914,-2175.541504,-1559.154297,-1039.178955,-3750.211914,-2175.541504,-1039.178955,class1
-3837.875244,-2404.980225,-1652.631104,-1009.832581,-3837.875244,-2404.980225,-1009.832581,class1
-4343.749023,-2726.357178,-1517.408569,-843.078491,-4343.749023,-2726.357178,-843.078491,class1
-6084.454102,-2627.767578,-1025.383301,-509.59256,-6084.454102,-2627.767578,-509.59256,class1
-3352.959961,-1365.93335,-222.430237,-84.700005,-3352.959961,-1365.93335,-84.700005,class1
1490.348267,375.748962,534.18103,263.908478,1490.348267,375.748962,263.908478,class1
-2552.592773,1133.12085,780.828979,370.252167,-2552.592773,1133.12085,370.252167,class1
1228.712891,150.298889,333.98233,179.24733,1228.712891,150.298889,179.24733,class1
-7092.218262,-1732.236816,-475.479187,-204.827164,-7092.218262,-1732.236816,-204.827164,class1
-5980.280762,-2653.711182,-1120.662354,-614.369507,-5980.280762,-2653.711182,-614.369507,class1
-3441.04248,-2251.542969,-1377.186279,-964.651489,-3441.04248,-2251.542969,-964.651489,class1
-3362.363525,-1685.858521,-1395.547241,-1246.917236,-3362.363525,-1685.858521,-1246.917236,class1
-3362.363525,-1551.365967,-1496.217285,-1505.131104,-3362.363525,-1551.365967,-1505.131104,class1
-3426.072754,-1969.397217,-1844.505615,-1740.659424,-3426.072754,-1969.397217,-1740.659424,class1
-4590.227539,-2995.679932,-2342.172852,-1876.683594,-4590.227539,-2995.679932,-1876.683594,class1
-7224.944336,-4257.796875,-2665.591309,-1810.950195,-7224.944336,-4257.796875,-1810.950195,class1
-10084.75293,-4567.037598,-2324.212158,-1408.573242,-10084.75293,-4567.037598,-1408.573242,class1
-4167.990234,-2326.224121,-1334.120483,-804.921143,-4167.990234,-2326.224121,-804.921143,class1
-7042.75,-2459.654297,-1348.9375,-864.491028,-7042.75,-2459.654297,-864.491028,class1
-5931.728516,-2652.18457,-1487.979736,-953.243652,-5931.728516,-2652.18457,-953.243652,class1
-4936.328125,-2672.584961,-1688.736206,-1023.13562,-4936.328125,-2672.584961,-1023.13562,class1
-4935.832031,-2939.003418,-1858.217651,-1012.320496,-4935.832031,-2939.003418,-1012.320496,class1
-5434.47168,-3279.263672,-1693.658691,-817.982422,-5434.47168,-3279.263672,-817.982422,class1
-7793.223633,-2816.380371,-950.335022,-390.217987,-7793.223633,-2816.380371,-390.217987,class1
-7028.572266,-374.603668,299.863708,172.175339,-7028.572266,-374.603668,172.175339,class1
2958.856201,2796.259521,1453.388794,632.984863,2958.856201,2796.259521,632.984863,class1
4215.006836,3926.233398,1787.743896,760.933228,4215.006836,3926.233398,760.933228,class1
5684.226563,1961.767212,1062.386963,481.381134,5684.226563,1961.767212,481.381134,class1
-7061.569336,-1287.475098,-200.783981,-53.276085,-7061.569336,-1287.475098,-53.276085,class1
-7052.763672,-3006.189697,-1227.353149,-609.122559,-7052.763672,-3006.189697,-609.122559,class1
-3741.819336,-2669.774414,-1652.927124,-1045.888184,-3741.819336,-2669.774414,-1045.888184,class1
-3362.363525,-1912.143799,-1654.204834,-1358.164795,-3362.363525,-1912.143799,-1358.164795,class1
-3362.363525,-1568.309448,-1626.415283,-1612.830566,-3362.363525,-1568.309448,-1612.830566,class1
-3362.363525,-1770.268555,-1877.512817,-1860.634521,-3362.363525,-1770.268555,-1860.634521,class1
-3592.212402,-2578.425049,-2405.283691,-2069.803711,-3592.212402,-2578.425049,-2069.803711,class1
-4908.356445,-4115.547852,-3010.121582,-2164.955566,-4908.356445,-4115.547852,-2164.955566,class1
