@relation 'Zernike Moment'

@attribute 'Z0,0' numeric
@attribute 'Z0,2' numeric
@attribute 'Z1,1' numeric
@attribute 'Z1,3' numeric
@attribute 'Z2,0' numeric
@attribute 'Z2,2' numeric
@attribute 'Z3,1' numeric
@attribute 'Z3,3' numeric
@attribute 'Z4,0' numeric
@attribute 'Z4,2' numeric
@attribute 'Z5,1' numeric
@attribute 'Z5,3' numeric
@attribute 'Z6,0' numeric
@attribute 'Z6,2' numeric
@attribute 'Z7,1' numeric
@attribute 'Z7,3' numeric

@data
22901257.716461,0,8161767.313459,0,-7974523.482219,205514.110428,-6319877.809287,-1922092.014702,-1235936.74525,-329015.852704,1562689.098087,1909838.305776,1124567.350251,188889.41561,-27159.945037,-607947.263999
24114283.853266,0,8461925.508311,0,-8418180.808204,60911.340478,-6581835.991888,-2051883.415552,-1398126.398211,-133814.791126,1643395.776977,2048771.619443,1399393.661059,73035.856995,1176.395997,-635591.575217
23803689.162104,0,8368368.835868,0,-8067508.350141,-8156.937614,-6404592.869388,-2057810.459042,-1670201.115861,-1164.871024,1489718.545313,2053307.454054,1512643.284322,-18114.029245,27067.45058,-585126.187785
24804798.264013,0,8775519.085743,0,-8409254.084621,80359.063231,-6687949.507184,-2111277.958412,-1637794.283053,-101358.276055,1592675.329037,2059802.494787,1504774.933322,24310.358012,-20583.665666,-595432.998883
27031590.140423,0,9657113.910542,0,-9336156.721181,246673.747033,-7679728.983977,-2053190.59871,-2248555.043246,-370988.787467,1674647.889024,2193783.974184,1924393.647008,173465.331318,196147.627163,-610044.38035
26712501.349946,0,9575346.888172,0,-8920189.874978,155110.330018,-7315304.59127,-2259747.606205,-2103783.97585,-194988.288491,1594630.005652,2281228.761796,1839310.260706,10064.870147,174026.127155,-734724.334781
22781947.849992,0,8053351.325536,0,-7788097.813174,77476.413759,-6227548.110349,-1894624.961258,-1652489.424063,-89218.712885,1424129.601738,1946698.197563,1529578.052486,-13279.078532,114940.840796,-640139.756546
24684333.887586,0,8787061.329948,0,-8289139.288423,99993.45995,-6719404.957679,-2073108.532706,-1890043.566915,-118730.367533,1469600.294094,2104353.909042,1614667.926481,1273.740595,141507.783001,-676710.507344
25318265.851275,0,8919672.284031,0,-8459549.929835,-94118.190632,-6840088.393716,-2242193.522126,-2109474.339101,123828.655544,1437063.775225,2413785.947545,1731240.474881,-81720.858262,199292.736017,-821904.886824
26469272.171547,0,9466338.917652,0,-8902807.381444,106170.259607,-7266393.187774,-2304273.969721,-2004668.965721,-182878.356742,1549726.555831,2432368.041617,1527790.141078,110052.665303,117073.38516,-734600.597896
25729371.663648,0,9180497.772664,0,-8571476.842875,107840.075711,-7006037.625088,-2129873.276824,-2147964.016891,-88511.925462,1436288.652546,2199094.494649,1766078.718941,-94246.215196,189728.075854,-728557.394796
26755507.562049,0,9449277.439893,0,-9202720.845044,147132.342661,-7265772.769758,-2165047.295842,-1818178.73459,-128911.519875,1583048.562216,2219125.346545,1523513.087843,-131790.957725,37550.108463,-720767.797883
24041692.965412,0,8459135.881723,0,-8407711.844168,147960.994916,-6557638.623853,-1927169.049341,-1439273.422043,-151335.745178,1533316.151874,1964760.087057,1291759.856444,-78559.637793,-65065.836386,-640991.339274
